trip_distance_km,time_of_day,day_of_week,traffic_conditions,weather,trip_duration_minutes,trip_price
48.75,Afternoon,Weekend,Medium,Rain,17.41,61.1936
49.32,Evening,Weekday,Low,Clear,112.17,88.6814
35.21,Afternoon,Weekend,Medium,Clear,110.06,66.581
27.27,Afternoon,Weekend,High,Clear,65.42,47.996
16.17,,Weekday,Medium,Rain,,45.28790000000001
40.88,Afternoon,Weekend,Low,Clear,55.15,97.2125
34.55,Afternoon,Weekday,Low,Rain,,63.615
8.97,Afternoon,Weekday,Low,Clear,44.17,25.5304
45.64,Afternoon,Weekend,,Rain,39.63,78.744
41.3,Afternoon,Weekday,Medium,Rain,71.5,37.17
47.54,Afternoon,Weekend,Medium,Clear,,68.4308
36.56,Evening,Weekend,Low,Clear,,40.9716
31.06,Evening,Weekday,Low,Clear,37.97,48.4496
21.49,Evening,Weekend,Low,Rain,47.2,54.4139
46.7,Night,Weekday,Medium,Clear,14.65,53.0315
43.44,Morning,Weekday,Low,Clear,11.01,39.9195
3.22,Morning,Weekday,,Clear,34.15,20.0527
2.29,Morning,Weekend,Low,Clear,13.54,13.9334
19.45,Afternoon,Weekday,High,Clear,16.93,24.0367
40.72,Evening,Weekday,High,Clear,98.49,63.3579
49.38,Morning,Weekday,Low,Clear,9.47,57.153000000000006
8.37,Night,Weekend,Low,Rain,80.78,52.9882
30.11,Morning,Weekday,Medium,Clear,36.34,54.1983
19.66,Night,Weekday,Low,Clear,105.23,84.873
48.53,Afternoon,Weekday,Medium,Snow,60.77,124.2416
42.26,Morning,Weekday,High,Rain,40.14,84.1558
42.08,Afternoon,Weekend,Medium,Rain,64.53,73.86349999999999
23.97,Morning,Weekday,High,Clear,48.93,45.2346
21.33,Morning,Weekday,Low,Clear,69.89,46.61750000000001
14.4,Afternoon,Weekend,Low,Clear,18.17,34.3543
3.76,Evening,Weekday,Medium,Rain,119.65,45.31230000000001
43.37,Afternoon,Weekend,Low,Clear,53.94,56.61489999999999
40.83,Afternoon,Weekday,Medium,Clear,45.05,75.92699999999999
49.99,Afternoon,Weekend,Low,Clear,86.67,80.7619
139.476514583775,Evening,Weekday,Low,Clear,46.85,296.0886973121837
28.22,Morning,Weekday,High,Clear,100.83,55.7598
38.68,Afternoon,Weekend,Low,Clear,57.24,73.2164
47.29,Morning,Weekend,High,Clear,87.75,97.75249999999998
42.63,Morning,Weekend,High,Clear,17.36,46.15260000000001
13.12,Afternoon,Weekday,Medium,Snow,102.3,64.9824
23.08,Morning,Weekend,Medium,Rain,89.61,54.1212
7.33,Afternoon,Weekend,Medium,Rain,29.35,29.9765
47.75,Evening,Weekday,High,Rain,,94.6379
30.7,Morning,Weekend,Low,Clear,41.37,44.5307
12.2,Afternoon,Weekend,Medium,Clear,117.25,35.284
33.91,Morning,Weekday,Medium,Clear,34.54,40.3595
31.29,Night,Weekday,Medium,Clear,57.45,79.637
18.55,Afternoon,Weekday,Medium,Clear,,25.3115
6.56,Evening,Weekday,Low,Clear,50.68,32.0088
33.91,Afternoon,Weekday,Medium,Clear,,29.2693
26.5,Morning,Weekday,High,Clear,114.61,77.4795
38.84,Afternoon,Weekday,Low,Clear,64.42,62.89040000000001
26.49,Night,Weekday,High,Clear,99.2,66.6318
42.76,Afternoon,Weekday,Medium,Rain,67.92,71.5568
28.04,Evening,Weekend,High,Clear,9.69,61.2568
28.49,Evening,Weekend,Medium,Clear,41.23,53.8901
43.96,Morning,Weekday,Medium,,71.19,88.9502
20.77,Morning,Weekend,Low,Clear,,47.3268
7.57,Afternoon,Weekday,High,Clear,103.8,40.163
2.41,,Weekday,Low,Clear,31.26,11.5061
38.0,Evening,Weekday,High,Clear,30.31,83.6299
31.4,Night,Weekday,,Clear,28.13,72.2196
35.5,Afternoon,Weekend,Low,Rain,111.09,109.89649999999996
11.44,Morning,Weekend,Low,Rain,103.06,38.2552
7.68,Evening,Weekday,Medium,Clear,94.11,60.32639999999999
1.71,Morning,Weekday,,Clear,50.16,15.1029
18.18,Evening,Weekday,High,Rain,63.0,46.316
29.91,Afternoon,,Low,Clear,58.4,52.678
20.22,Afternoon,Weekday,Low,Clear,34.14,24.4816
22.44,Morning,Weekday,High,,63.08,45.5584
45.3,Afternoon,Weekend,Medium,Rain,8.51,37.7718
18.06,Afternoon,Weekend,High,Clear,20.16,23.279
26.19,Afternoon,Weekday,Low,,106.96,61.2287
39.4,,Weekend,Medium,Rain,91.44,72.9188
20.43,Evening,Weekday,Medium,Clear,53.63,52.6406
31.48,Evening,Weekday,Medium,,64.47,46.4367
43.26,Morning,Weekday,Medium,Snow,47.55,77.8741
47.53,Morning,Weekday,Medium,,90.19,56.7461
8.21,Morning,Weekend,Medium,Clear,95.18,46.49680000000001
46.4,Afternoon,Weekday,Low,Clear,92.78,101.9914
25.11,Afternoon,Weekday,Medium,Clear,88.1,59.3324
23.5,Morning,Weekday,Medium,Clear,43.87,36.9301
49.02,Afternoon,Weekend,Low,Clear,59.03,95.2278
25.14,Afternoon,Weekday,Medium,Rain,43.04,40.2186
17.11,Afternoon,Weekday,Medium,,91.82,36.6701
,Night,Weekday,Low,Clear,42.88,65.6944
12.77,Morning,Weekday,Low,Clear,20.9,17.662100000000002
4.72,,Weekday,Low,Rain,50.89,35.6928
7.32,Afternoon,Weekday,Medium,Clear,117.69,58.9867
122.82019097975328,Afternoon,Weekday,High,Clear,30.98,247.5983178992313
8.44,Evening,Weekend,Low,Clear,75.4,41.30720000000001
7.8,Afternoon,Weekend,Medium,Clear,,32.9075
32.4,Night,Weekend,Low,Clear,13.17,68.9296
9.91,Morning,Weekday,Medium,Rain,61.11,38.348600000000005
17.94,Morning,Weekday,High,Clear,85.75,58.0861
44.94,Evening,Weekday,Low,Clear,64.02,69.1938
24.22,Afternoon,Weekend,Medium,Clear,,86.3292
33.71,Morning,Weekday,Low,Rain,38.23,66.1224
9.44,Morning,Weekday,Low,Clear,14.92,12.6264
10.42,Morning,Weekday,Low,Clear,112.71,43.0058
3.0,Evening,Weekday,Low,Clear,48.49,26.111700000000003
9.28,Morning,Weekday,Medium,Clear,71.29,38.447500000000005
14.65,Afternoon,Weekday,Medium,Clear,96.08,63.93
9.67,Morning,Weekend,Medium,Clear,42.3,32.7178
5.35,,Weekday,Low,Clear,87.36,22.8002
6.91,Morning,Weekday,Low,Clear,20.57,17.1693
23.58,Afternoon,Weekday,Medium,Clear,38.5,29.778
11.11,Morning,Weekday,,,21.64,13.3746
18.85,,Weekday,Low,Clear,98.29,48.1365
25.67,Morning,Weekend,High,,30.6,61.54940000000001
34.83,Afternoon,Weekday,Medium,Snow,87.5,79.71459999999999
2.93,Evening,Weekend,Medium,Snow,113.48,43.60339999999999
40.17,Afternoon,Weekday,Medium,Rain,65.69,93.1014
31.77,Afternoon,Weekday,Low,Clear,67.1,72.9137
5.01,Afternoon,Weekend,Low,Rain,58.02,29.055300000000003
43.81,Afternoon,Weekday,Medium,Clear,42.48,69.9316
46.12,Afternoon,Weekday,Low,Clear,59.7,102.4302
138.76388715029725,Night,Weekday,High,Clear,74.32,332.0436886774302
14.57,Afternoon,Weekday,Medium,Clear,118.39,37.39
40.5,Afternoon,Weekend,Low,Rain,112.84,84.3528
37.66,Evening,Weekday,Medium,Clear,104.15,87.5241
10.04,Afternoon,Weekend,Low,Clear,107.25,44.4294
11.26,Morning,Weekend,Medium,Rain,58.8,30.5768
19.15,Afternoon,Weekday,Medium,Clear,80.61,38.9965
24.74,Night,Weekend,High,Clear,107.93,88.8816
19.08,Afternoon,Weekend,Medium,Clear,115.6,39.1976
23.66,Morning,Weekday,Medium,Clear,52.82,25.8856
37.63,Afternoon,Weekday,High,Clear,74.12,72.356
2.8,Morning,Weekday,Low,Clear,86.63,44.2055
13.37,Afternoon,Weekday,Low,Rain,114.32,50.2412
35.95,Evening,Weekday,Low,Clear,33.13,49.78730000000001
27.07,Evening,Weekday,Medium,Clear,35.88,31.2318
6.25,Night,Weekend,Medium,Snow,94.31,44.6322
22.92,Morning,Weekday,,Clear,68.51,48.11750000000001
27.1,Afternoon,,Medium,Clear,81.01,73.0726
12.88,Morning,Weekend,Low,Clear,42.13,43.9909
14.19,Night,Weekend,Medium,Clear,,44.507000000000005
19.49,Night,Weekend,Medium,Rain,76.0,34.5781
,Evening,Weekday,Low,Clear,27.81,25.3938
11.36,Afternoon,Weekend,Low,Clear,115.59,62.8
6.87,Morning,,High,Clear,89.4,60.315
44.64,Evening,Weekday,Medium,Rain,52.27,78.7809
30.09,Morning,Weekend,Low,Clear,45.84,62.6715
,Evening,Weekday,Medium,Rain,51.82,56.2678
39.67,Evening,Weekday,Medium,Clear,52.06,61.871
25.42,Evening,Weekday,Medium,Clear,67.58,54.7066
5.26,Morning,Weekday,Low,Clear,67.5,33.344
27.32,Afternoon,,Low,Clear,62.17,48.3843
29.76,Morning,Weekday,Medium,Rain,20.5,62.7544
37.53,Afternoon,Weekday,Low,Rain,62.05,101.0292
22.15,Morning,Weekend,Low,Clear,24.45,32.985499999999995
7.25,Night,Weekday,Low,Clear,19.51,17.9592
14.91,Afternoon,Weekend,Medium,Clear,112.25,65.9698
18.79,Afternoon,Weekend,High,Rain,74.57,45.1726
28.97,Afternoon,Weekday,Medium,Clear,51.21,65.195
18.45,Afternoon,Weekday,Medium,Clear,109.53,85.4652
49.34,Afternoon,Weekend,Low,Clear,78.36,69.91480000000001
30.68,Night,Weekday,Medium,Clear,93.45,72.16069999999999
12.62,Afternoon,Weekday,,Clear,47.38,36.4212
5.99,Night,Weekday,Medium,Clear,115.4,41.014300000000006
8.49,Evening,Weekday,Low,Snow,99.35,33.2317
13.05,Morning,Weekday,Low,Clear,103.2,38.9635
8.87,Night,Weekday,Low,Clear,24.8,24.6913
14.97,Evening,Weekday,,Rain,37.85,22.1172
9.5,Afternoon,Weekday,Low,Clear,36.15,29.2945
44.94,Evening,,High,Clear,103.37,129.5356
4.93,Evening,Weekend,Medium,Clear,8.67,9.9494
26.7,Evening,Weekday,Medium,Clear,13.75,50.789
21.11,Evening,Weekend,High,Clear,36.5,30.4015
49.14,Afternoon,Weekday,High,Rain,27.99,69.1972
20.49,Afternoon,Weekday,High,Clear,96.76,74.2598
48.5,Morning,Weekday,Low,Clear,,50.7312
43.41,Afternoon,Weekday,Low,Rain,5.66,58.0149
41.04,Afternoon,Weekday,Medium,Clear,54.37,44.101
13.64,Night,Weekend,Medium,Rain,51.91,26.076
9.37,Afternoon,Weekday,Medium,Clear,18.1,20.3509
33.76,Evening,Weekday,Low,Rain,82.76,102.3316
46.54,Morning,Weekday,Low,Rain,85.74,60.0264
28.28,Evening,Weekday,Medium,Rain,87.9,71.6404
29.01,,Weekday,Low,Clear,88.77,62.4379
14.72,Afternoon,Weekday,Medium,Clear,5.01,20.9951
38.71,Afternoon,Weekday,Medium,Rain,114.7,86.3545
10.17,Evening,Weekday,Medium,Clear,98.63,41.4372
16.86,Morning,Weekday,Medium,Clear,108.96,75.7144
21.85,Afternoon,Weekday,High,Rain,6.8,32.5735
25.87,Afternoon,Weekday,,Rain,112.39,62.7959
12.88,Morning,Weekday,Medium,Rain,98.13,32.2622
6.63,Afternoon,Weekend,Medium,Clear,101.28,40.8036
30.92,Morning,Weekday,Low,Rain,15.73,46.5931
15.14,Morning,Weekday,Low,Rain,89.96,46.61319999999999
29.48,Morning,Weekday,Low,Clear,115.39,78.5578
8.56,Night,Weekend,Medium,Clear,83.03,46.2939
24.58,Afternoon,Weekend,Medium,Clear,70.61,58.59289999999999
27.1,,Weekday,High,Clear,113.75,53.040000000000006
3.54,Afternoon,Weekend,Low,Snow,55.94,20.2324
17.49,Afternoon,Weekday,Low,Clear,73.92,61.8896
7.59,Afternoon,Weekday,High,,59.78,23.9803
4.11,Afternoon,Weekend,Low,Snow,112.28,51.6226
49.51,Morning,Weekend,Medium,Clear,13.75,46.207800000000006
16.8,Afternoon,Weekday,Medium,Rain,62.63,26.9585
40.68,Morning,Weekday,,Clear,84.0,58.2448
13.48,Afternoon,Weekday,Low,Rain,96.07,38.769
34.39,,Weekday,Low,Clear,72.05,71.7971
38.25,Morning,,Low,Rain,109.53,67.24510000000001
30.19,Morning,Weekday,Medium,,113.33,70.6464
24.11,Evening,,Medium,Clear,12.4,26.263
21.18,Afternoon,Weekday,Low,Rain,51.27,46.1432
18.09,Morning,Weekday,Medium,Clear,7.7,19.2698
46.55,Night,Weekday,High,Clear,42.88,83.375
41.7,,Weekday,Low,Clear,66.74,80.7792
48.29,Afternoon,Weekend,Medium,Rain,109.74,104.1555
7.09,Night,Weekend,,Clear,102.35,39.1789
36.81,Morning,Weekday,Low,Clear,19.66,78.95210000000002
46.98,Morning,Weekend,Low,Clear,15.7,101.6666
9.88,Morning,Weekend,Medium,Clear,72.77,25.8142
4.26,Afternoon,Weekend,,Clear,66.19,14.8186
37.31,Morning,Weekday,High,Clear,35.63,54.9343
29.15,Afternoon,Weekday,Medium,Clear,108.44,81.9816
,Morning,Weekday,Medium,Clear,111.65,122.418
7.85,Afternoon,,Low,Clear,51.3,28.7235
39.97,Night,Weekday,Medium,Rain,107.38,47.846900000000005
10.88,Evening,Weekday,Medium,Clear,,41.9406
9.05,Afternoon,Weekend,Medium,Clear,59.73,19.1069
40.91,Afternoon,Weekday,Medium,Clear,19.1,57.53359999999999
33.59,Afternoon,Weekday,Low,Rain,111.71,69.7245
26.63,Afternoon,Weekend,High,Clear,57.22,57.1264
,Morning,Weekend,Low,Clear,89.47,34.4316
43.98,Evening,Weekend,Low,Clear,47.22,72.8562
20.23,Afternoon,Weekend,Low,Clear,7.17,35.3812
41.01,Morning,,Medium,Clear,16.56,84.7232
19.47,,Weekday,Low,Clear,84.35,40.56649999999999
23.67,Evening,Weekday,Medium,Snow,43.49,62.2353
15.77,Evening,Weekday,Low,Clear,,63.0548
37.63,Evening,Weekday,Medium,Clear,85.34,38.6058
25.63,Morning,Weekday,Medium,Rain,85.95,59.886
12.38,Afternoon,Weekday,Medium,Rain,61.64,29.9606
45.08,Afternoon,Weekend,High,Clear,110.21,70.29329999999999
19.81,Morning,Weekday,Low,Rain,61.26,43.8544
101.0397035425727,,Weekday,Low,Rain,56.78,283.6452005933156
45.42,Evening,Weekend,Medium,Clear,27.93,50.89789999999999
31.59,Morning,,High,,40.38,73.5544
6.73,Afternoon,Weekday,Low,Clear,9.87,20.0083
47.05,Morning,Weekday,Low,Snow,77.86,128.6549
31.76,Morning,Weekday,Low,Clear,33.58,34.952
7.82,Night,Weekend,Low,Rain,93.64,36.1464
39.91,Evening,Weekday,Medium,Clear,42.63,75.4875
31.38,Night,Weekday,High,Clear,32.85,28.6304
27.14,Afternoon,Weekend,Medium,Clear,24.44,31.4354
44.8,Morning,Weekend,Low,Clear,94.11,108.2325
39.64,Afternoon,Weekday,Medium,Rain,19.92,57.3952
16.27,Evening,Weekday,High,Rain,,28.164300000000004
13.18,Morning,Weekday,Medium,Clear,84.05,55.86
37.45,Afternoon,Weekday,Low,Clear,77.83,32.2063
2.64,Morning,Weekday,Medium,Snow,98.23,51.2833
28.92,Afternoon,Weekend,Medium,Clear,10.15,22.5469
38.36,Evening,Weekday,Medium,Clear,39.09,49.3168
43.96,,Weekday,Low,Clear,37.22,59.0718
17.76,Afternoon,Weekday,,Rain,21.79,32.1634
41.24,Afternoon,Weekday,High,Clear,38.26,60.92600000000001
,Afternoon,Weekday,Medium,Clear,,19.0904
42.48,Evening,Weekday,High,Clear,65.02,96.7288
7.25,,Weekend,Low,Clear,81.33,23.3579
20.47,Night,Weekday,Medium,Rain,48.83,31.306
,Evening,Weekday,Medium,Clear,87.74,77.0499
8.35,Afternoon,Weekday,Medium,Clear,43.66,36.5375
12.23,Afternoon,Weekday,Medium,Clear,38.38,25.9025
36.39,Afternoon,Weekday,Low,,67.24,44.5344
36.28,,Weekday,Low,Rain,7.73,66.039
32.42,Evening,Weekday,Low,Clear,14.18,49.852
35.0,Morning,Weekday,Low,Snow,53.07,64.2861
27.59,Night,Weekend,Medium,Clear,113.43,75.27289999999999
13.34,Afternoon,Weekend,Low,,87.97,53.3479
17.94,Afternoon,,Low,Rain,15.13,33.2741
9.9,Afternoon,Weekend,Medium,Clear,102.33,45.4312
45.51,Evening,Weekday,Medium,Rain,89.21,100.305
29.59,Afternoon,Weekend,High,Snow,75.26,64.73160000000001
20.64,Afternoon,,Medium,,99.33,33.4215
47.42,Afternoon,Weekend,High,Rain,30.47,95.9602
8.51,Morning,,Medium,Clear,63.88,47.177
29.73,Evening,Weekend,Low,Clear,68.12,47.488200000000006
25.79,Afternoon,Weekday,Medium,Clear,66.91,30.5797
30.96,Afternoon,Weekday,High,Clear,69.98,53.9468
1.89,Morning,Weekday,Low,,114.1,52.77959999999999
43.73,Morning,Weekday,Low,Clear,108.76,138.6425
,Evening,Weekday,,Clear,105.71,74.58429999999998
108.14699381139414,Morning,Weekday,Low,Clear,97.16,239.17140732641303
35.14,Morning,Weekend,Medium,Clear,113.49,53.550900000000006
46.2,Morning,,Medium,Clear,16.33,77.40390000000001
35.65,Night,Weekend,Low,Rain,35.49,43.8543
8.47,Evening,Weekend,High,Clear,61.93,25.4565
29.24,Afternoon,Weekend,Medium,Rain,,68.9614
30.73,Morning,Weekend,Medium,Rain,63.09,72.553
21.78,Afternoon,Weekday,,Clear,91.02,26.2692
37.09,Evening,Weekend,Low,Clear,,76.46470000000001
46.78,Afternoon,Weekend,Medium,Clear,34.03,90.7801
46.35,Morning,Weekday,Medium,Clear,89.15,68.52850000000001
23.09,Morning,Weekday,High,Rain,23.94,48.835
6.55,Morning,Weekend,Medium,Rain,45.41,21.6555
49.26,Afternoon,Weekday,Low,Clear,35.46,109.4304
42.11,Evening,Weekday,High,Clear,45.23,67.3902
7.11,Morning,Weekday,Low,Rain,86.46,20.2751
,Morning,Weekday,High,Snow,,66.85679999999999
43.62,Morning,Weekday,High,Clear,68.86,46.90559999999999
26.42,Night,Weekend,Low,Clear,16.49,60.7394
29.97,Morning,Weekday,Medium,Clear,97.58,64.86420000000001
20.55,Evening,Weekday,Low,Snow,47.54,53.16
3.68,Afternoon,Weekday,Medium,Clear,79.58,43.224
17.42,Afternoon,Weekday,Medium,Clear,88.42,62.0624
40.34,Morning,Weekend,Medium,Clear,29.11,43.31230000000001
1.23,Morning,Weekday,,Clear,106.74,45.6902
,Afternoon,Weekday,Medium,Clear,75.87,38.4514
20.51,Evening,Weekday,Medium,Snow,54.3,50.07450000000001
27.33,Afternoon,Weekday,High,Clear,25.97,22.0141
46.07,Afternoon,Weekend,High,Clear,113.36,87.7201
17.97,Morning,Weekend,Low,Clear,91.83,33.3599
18.0,Night,Weekday,,Clear,28.92,45.513200000000005
37.14,Evening,Weekday,Low,Clear,43.84,52.0972
23.16,Morning,Weekday,High,Clear,98.11,62.1095
,Night,Weekday,Low,Clear,85.0,45.9582
23.17,Afternoon,Weekday,Low,Clear,93.07,78.1988
7.9,Afternoon,Weekday,Medium,Clear,55.74,42.1098
9.64,Evening,,Medium,Clear,87.39,39.4645
25.42,Evening,Weekday,Low,Snow,49.45,49.1871
126.54762829842768,Afternoon,Weekend,Low,,29.3,224.9146628555729
45.83,Morning,Weekend,Medium,Clear,,65.9479
18.76,Afternoon,Weekday,High,Clear,117.24,53.4536
,Morning,Weekday,Low,Clear,58.01,68.2181
1.64,,Weekday,Medium,Rain,82.51,41.3681
33.51,Afternoon,Weekend,Low,Rain,67.27,61.9923
9.72,Afternoon,Weekend,High,Clear,101.99,36.2571
48.09,Afternoon,Weekend,High,Clear,92.6,90.4747
8.28,Night,Weekday,Medium,Snow,11.7,19.4986
,Morning,Weekday,Low,Clear,119.82,69.336
,Morning,Weekend,Medium,Clear,91.53,47.375
49.85,Morning,Weekday,Medium,Clear,104.35,76.737
25.61,Evening,,High,Clear,79.89,66.9097
30.17,Afternoon,Weekday,Medium,Clear,103.47,99.0039
4.29,Morning,,Medium,Rain,17.92,13.9727
37.75,Evening,Weekday,Medium,Snow,44.99,30.0888
11.29,Evening,Weekday,Medium,Clear,105.79,62.6572
45.0,Evening,Weekend,High,Clear,28.19,72.13080000000001
11.05,Night,Weekday,Medium,Clear,14.0,15.5675
10.34,Morning,Weekday,Medium,Clear,95.63,43.8625
2.79,Evening,Weekday,Low,,101.08,30.371
24.13,Afternoon,Weekday,,Snow,23.71,57.0497
28.68,Evening,Weekday,Medium,Rain,103.25,40.174
4.22,Evening,Weekday,Low,Clear,83.98,25.095
39.0,Evening,Weekend,Low,Clear,64.81,90.8983
23.21,Afternoon,Weekday,Medium,Clear,100.48,45.85979999999999
26.7,Morning,Weekend,Medium,Clear,53.21,47.8069
22.6,Afternoon,Weekday,Medium,Clear,27.31,51.058800000000005
20.64,Night,Weekday,Low,Clear,37.76,40.2564
28.42,Night,Weekday,Medium,Snow,63.09,59.74210000000001
8.61,Morning,Weekday,Low,Clear,66.1,32.2544
9.91,Morning,Weekend,Medium,Clear,97.64,57.075500000000005
43.23,Morning,Weekday,Low,Rain,96.01,70.8329
47.36,Evening,Weekday,,Clear,71.86,102.885
19.29,Evening,Weekend,Low,Clear,94.79,48.2843
,Afternoon,,Low,Clear,10.76,28.7716
21.03,Evening,Weekday,Low,,105.47,76.5803
2.24,Evening,Weekend,Medium,Clear,13.69,8.6709
8.65,Afternoon,Weekday,Medium,Rain,33.37,16.1592
36.08,Afternoon,Weekday,Low,Clear,84.96,65.2064
33.29,Afternoon,Weekday,High,Clear,52.09,50.996100000000006
2.33,Morning,Weekday,Low,Rain,105.78,43.0228
11.88,Afternoon,Weekday,Medium,Clear,39.27,22.7573
12.32,Afternoon,Weekday,Low,Clear,6.37,19.9427
33.92,Evening,Weekend,Low,Clear,39.58,36.09780000000001
1.97,Afternoon,Weekday,Medium,Clear,71.48,32.428200000000004
6.1,Evening,Weekday,Medium,Clear,48.23,32.1352
40.2,Morning,Weekday,High,Clear,66.51,78.18800000000002
9.75,Afternoon,Weekend,Medium,Clear,105.81,45.2855
32.98,Morning,Weekday,High,Clear,109.94,78.64779999999999
12.67,Morning,Weekday,Low,Snow,35.59,37.2489
5.87,Evening,Weekend,Low,Clear,58.15,28.0701
36.39,Morning,Weekday,Low,Clear,114.15,94.5643
42.93,Afternoon,Weekday,Medium,Clear,119.84,43.19980000000001
20.46,Morning,,Low,Clear,88.6,65.232
33.74,Afternoon,Weekday,High,Rain,48.47,56.3682
11.04,Evening,Weekend,High,Clear,5.93,11.596999999999998
15.36,Afternoon,Weekday,Low,Clear,6.06,16.9168
44.92,Morning,Weekday,Low,Clear,57.97,101.8744
1.64,Afternoon,Weekday,Low,Clear,61.16,32.7396
5.19,Evening,Weekday,Low,Rain,7.6,12.7333
11.19,,Weekday,Low,Clear,84.0,35.964
2.3,Morning,Weekend,Medium,Snow,38.81,26.4327
9.89,Evening,Weekday,Low,Snow,69.39,38.95910000000001
29.57,,Weekday,Low,Clear,39.61,50.117900000000006
21.65,Evening,Weekday,High,Clear,24.22,31.6941
44.74,Morning,,Medium,Rain,51.82,51.1318
41.05,Night,,High,Snow,31.71,67.736
17.75,Afternoon,Weekday,Low,Clear,66.5,51.03
13.71,Afternoon,Weekday,Low,Clear,27.87,22.3206
19.6,Morning,Weekday,Medium,Clear,63.47,48.127500000000005
14.14,Evening,Weekday,Low,Clear,82.16,59.8622
31.58,Night,Weekend,Medium,Rain,91.7,54.3684
21.06,Afternoon,Weekend,Medium,Clear,17.7,44.7904
28.05,Afternoon,Weekday,Medium,Clear,58.8,45.9215
22.37,Evening,Weekday,Medium,Clear,13.15,34.376400000000004
15.43,Evening,Weekend,Medium,Clear,73.79,48.2267
47.47,Afternoon,Weekend,Low,,35.41,52.9872
38.42,Afternoon,Weekday,Low,Clear,65.68,54.76660000000001
7.87,Afternoon,Weekday,Low,Clear,64.51,26.1975
24.88,Morning,Weekend,High,Clear,68.14,55.3432
44.83,Afternoon,Weekend,Medium,Snow,72.04,64.7223
40.19,Afternoon,Weekday,Medium,Clear,51.19,52.9218
21.84,Evening,Weekday,Low,Clear,114.14,46.639
2.1,Morning,Weekend,Low,Clear,94.38,25.4386
14.17,Afternoon,Weekend,Low,Snow,37.82,19.7235
27.54,Afternoon,Weekend,Low,Clear,102.08,80.7576
32.04,Afternoon,Weekend,Low,Clear,54.73,62.9006
13.64,Morning,Weekday,Medium,Rain,100.3,39.275
7.83,Afternoon,Weekday,Medium,Clear,99.63,29.3753
41.91,Afternoon,Weekday,Medium,Clear,26.72,63.7777
49.24,Afternoon,Weekday,Medium,Clear,85.63,54.67150000000001
26.76,Afternoon,Weekday,High,Clear,38.42,42.398
9.41,,Weekend,Low,Clear,39.21,28.1281
14.34,Evening,Weekday,Low,Rain,,38.035
1.9,Morning,Weekend,Low,Clear,88.44,29.9812
6.77,Afternoon,Weekend,High,Clear,5.1,10.4444
,Morning,Weekday,Low,Rain,87.25,47.33
14.43,Morning,Weekday,High,Clear,24.69,29.0627
28.15,Afternoon,Weekday,High,Clear,17.02,22.2951
32.92,Evening,Weekday,Low,Clear,32.31,38.8456
,Evening,Weekend,Low,Snow,48.69,76.48649999999999
11.11,Evening,Weekend,Medium,Clear,59.73,25.1652
1.54,Afternoon,Weekday,High,Clear,10.13,9.8718
7.71,Afternoon,Weekday,Low,Clear,116.62,53.726
45.1,Morning,Weekday,Medium,Clear,87.35,81.572
43.82,Afternoon,Weekday,Low,Clear,42.17,73.3691
30.27,Afternoon,Weekend,Medium,Clear,41.65,41.0174
30.43,Morning,Weekend,Medium,Clear,56.58,65.0136
33.59,Morning,Weekday,Medium,Clear,77.02,55.5074
9.59,Afternoon,Weekend,High,Clear,21.83,20.2164
45.81,Evening,Weekday,High,Clear,26.73,75.03649999999999
21.52,Night,Weekend,High,Rain,103.83,93.5096
19.77,Night,Weekday,Low,Clear,34.47,47.6252
26.43,Afternoon,Weekend,Medium,Clear,48.72,58.65549999999999
3.3,Afternoon,Weekend,Low,Clear,105.2,33.183
9.15,Afternoon,Weekday,Medium,Snow,81.26,48.8108
37.16,Evening,Weekend,Medium,Snow,44.3,46.3014
5.06,Morning,Weekday,Medium,,83.63,49.11559999999999
,Afternoon,Weekday,Medium,Clear,7.26,39.4771
13.02,Evening,Weekday,High,Clear,89.6,48.0134
20.08,Afternoon,Weekend,Low,Clear,,49.5082
15.15,Afternoon,Weekend,,Clear,98.52,69.749
18.43,Afternoon,Weekend,Low,Clear,114.78,45.03040000000001
36.23,Morning,Weekend,,Rain,,97.1094
15.56,Afternoon,Weekday,,Rain,109.57,59.2055
28.75,Afternoon,Weekend,High,Rain,63.9,59.68299999999999
24.33,Morning,Weekday,High,Clear,46.42,33.7362
,Morning,Weekday,High,Clear,58.48,73.0708
46.9,Evening,Weekday,High,Clear,84.34,48.44540000000001
36.9,Morning,Weekend,Low,Clear,106.66,100.5938
11.53,Afternoon,Weekend,Low,Rain,,24.4491
2.53,Morning,Weekday,Medium,Clear,110.59,56.688500000000005
13.85,Night,Weekday,Medium,Clear,98.75,59.6075
3.52,Afternoon,Weekday,Low,Clear,106.23,42.4232
25.32,Evening,Weekend,Medium,Rain,37.19,62.7976
30.25,Evening,Weekend,Medium,Clear,17.18,46.0189
17.38,Morning,Weekday,Low,Rain,17.91,23.1248
38.77,Evening,Weekday,Medium,Clear,38.49,38.6747
6.22,Afternoon,Weekend,Medium,Clear,75.63,46.6313
4.68,Afternoon,Weekend,Medium,Rain,97.5,53.6582
36.68,Morning,Weekday,Low,Clear,108.41,85.5747
25.28,Morning,Weekend,Medium,Snow,76.73,73.3549
34.73,Evening,Weekday,Low,Clear,5.65,44.88589999999999
22.31,Afternoon,Weekday,Low,Clear,26.43,54.6247
13.07,,Weekend,Medium,Clear,16.47,24.6973
41.14,Evening,Weekend,Medium,Rain,46.78,82.44200000000001
